category,type,difficulty,question,correct_answer,incorrect_answers
Entertainment: Japanese Anime &amp; Manga,multiple,medium,The heroine of &quot;Humanity Has Declined&quot; is a mediator between humans and what?,Fairies,"[""Elves"", ""The Earth"", ""Animals""]"
Entertainment: Music,multiple,easy,&quot;Grande Valse&quot; is a phrase from the song &quot;Gran Vals&quot;. What is that song segment known as?,Nokia Tune,"[""Hello Moto [Motorola Ringtone]"", ""Droid Ringtone"", ""Microsoft Ringtone""]"
Entertainment: Video Games,multiple,medium,"In &quot;Call Of Duty: Zombies&quot;, which map introduced the perk &quot;PhD Flopper&quot;?",Ascension,"[""Moon"", ""Call Of The Dead"", ""Die Rise""]"
General Knowledge,multiple,easy,How many cards are there in a standard deck of playing cards?,52,"[""32"", ""40"", ""64""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,Who is the colossal titan in &quot;Attack On Titan&quot;?,Bertolt Hoover,"[""Reiner"", ""Eren"", ""Sasha""]"
Vehicles,boolean,medium,"When BMW was established in 1916, it was producing automobiles.",False,"[""True""]"
Geography,multiple,easy,What is the capital of India?,New Delhi,"[""Beijing"", ""Montreal"", ""Tithi""]"
General Knowledge,multiple,easy,Foie gras is a French delicacy typically made from what part of a duck or goose?,Liver,"[""Heart"", ""Stomach"", ""Intestines""]"
Entertainment: Video Games,multiple,easy,Who is the leader of Team Instinct in Pok&eacute;mon Go?,Spark,"[""Candela"", ""Blanche"", ""Willow""]"
Science &amp; Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,"[""Thymine"", ""Adenine"", ""Uracil""]"
Science &amp; Nature,multiple,hard,What is the scientific name of the red fox?,Vulpes Vulpes,"[""Vulpes Redus"", ""Red Fox"", ""Vulpes Vulpie""]"
Geography,boolean,medium,Tasmania is an island state of Australia.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,In which order do you need to hit some Deku Scrubs to open the first boss door in &quot;Ocarina of Time&quot;?,"2, 3, 1","[""1, 2, 3"", ""1, 3, 2"", ""2, 1, 3""]"
Entertainment: Music,multiple,easy,Which brass instrument has the lowest pitch in an orchestra?,Tuba,"[""Trumpet"", ""Saxophone"", ""Trombone""]"
Celebrities,multiple,medium,"Which American celebrity died in 1977 playing golf in La Moraleja, Madrid?",Bing Crosby,"[""Elvis Presley"", ""Charlie Chaplin"", ""Groucho Marx""]"
Entertainment: Video Games,multiple,easy,Who is the leader of Team Valor in Pok&eacute;mon Go?,Candela,"[""Willow"", ""Blanche"", ""Spark""]"
Sports,multiple,medium,"The 1988 Formula 1 season had McLaren win all but one race, what race did they not win?",Italian Grand Prix,"[""Japanese Grand Prix"", ""Monaco Grand Prix"", ""Brazilian Grand Prix""]"
Entertainment: Music,multiple,medium,Which of these songs is NOT in The Beatles&#039; album &quot;Sgt. Pepper&#039;s Lonely Hearts Club Band&quot;?,Strawberry Fields Forever,"[""Getting Better"", ""Fixing a Hole"", ""Lucy in the Sky with Diamonds""]"
Entertainment: Board Games,multiple,hard,"In Magic: The Gathering, what was a tribute card to Jamie Wakefield&#039;s late wife Marilyn, who loved horses?",Timbermare,"[""Loyal Pegasus"", ""Vryn Wingmare"", ""Sungrace Pegasus""]"
Entertainment: Music,boolean,easy,To become a &quot;one-hit wonder&quot; artist needs to release only one song per year.,False,"[""True""]"
Animals,multiple,hard,What was the name of the Ethiopian Wolf before they knew it was related to wolves?,Simien Jackel,"[""Ethiopian Coyote"", ""Amharic Fox"", ""Canis Simiensis""]"
Entertainment: Video Games,multiple,medium,What is the full name of the protagonist from the SNES game Clock Tower?,Jennifer Simpson,"[""Jennifer Barrows"", ""Jennifer Cartwright"", ""Jennifer Maxwell""]"
History,multiple,hard,Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,Battle of Midway,"[""Attack on Truk Island"", ""Attack on Pearl Harbor"", ""Battle of the Coral Sea""]"
Science &amp; Nature,multiple,easy,What is the official name of the star located closest to the North Celestial Pole?,Polaris,"[""Eridanus"", ""Gamma Cephei"", ""Iota Cephei""]"
Entertainment: Film,boolean,easy,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,True,"[""False""]"
Entertainment: Television,multiple,medium,"In the episode of SpongeBob SquarePants, &quot;Survival of the Idiots&quot;, Spongebob called Patrick which nickname?",Pinhead,"[""Starfish"", ""Larry"", ""Dirty Dan""]"
Entertainment: Comics,multiple,hard,"In the Homestuck Series, what is the alternate name for the Kingdom of Lights?",Prospit,"[""No Name"", ""Golden City"", ""Yellow Moon""]"
Entertainment: Video Games,multiple,medium,What was the name of the protagonist of Metal Gear Solid V: The Phantom Pain?,Punished &quot;Venom&quot; Snake,"[""Miller"", ""Solid Snake"", ""Ocelot""]"
Animals,multiple,easy,What color is a Steller&#039;s Jay?,blue and black,"[""blue and grey"", ""blue and white"", ""grey and black""]"
Entertainment: Film,multiple,easy,"Which movie contains the quote, &quot;Say hello to my little friend!&quot;?",Scarface,"[""Reservoir Dogs"", ""Heat"", ""Goodfellas""]"
Entertainment: Music,multiple,medium,What is the real name of American rapper Pitbull?,Armando Christian P&eacute;rez,"[""Ram&oacute;n Luis Ayala Rodr&iacute;guez"", ""Benito Antonio Martinez Ocasio"", ""Belcalis Marlenis Alm&aacute;nzar""]"
Politics,multiple,hard,Which major bank&#039;s collapse was notable as one of the causes of the Financal Crisis of 2008?,Lehman Brothers,"[""HSBC"", ""Barclays"", ""Lloyds""]"
Geography,boolean,medium,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,"[""False""]"
Entertainment: Music,multiple,medium,Which artist released his third and final studio album &#039;Electric Ladyland&#039; before his death in 1970?,Jimi Hendrix,"[""Prince"", ""Eric Clapton"", ""Captain Sensible""]"
Entertainment: Music,multiple,medium,"Which band released songs such as &quot;Electric Feel&quot;, &quot;Kids&quot;, and &quot;Time to Pretend&quot;?",MGMT,"[""Passion Pit"", ""Phoenix"", ""Franz Ferdinand""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,"In the Pixar film, &quot;Toy Story&quot; what was the name of the child who owned the toys?",Andy,"[""Edward"", ""Danny"", ""Matt""]"
Entertainment: Video Games,multiple,easy,What is the name of the adventurer you meet at the mines in Stardew Valley?,Marlon,"[""Marnie"", ""Morris"", ""Marvin""]"
Entertainment: Music,multiple,medium,What is the first track on Kanye West&#039;s 808s &amp; Heartbreak?,Say You Will,"[""Welcome to Heartbreak"", ""Street Lights"", ""Heartless""]"
Entertainment: Video Games,multiple,easy,What video game engine does the videogame Quake 2 run in?,iD Tech 2,"[""iD Tech 3"", ""iD Tech 1"", ""Unreal Engine""]"
History,multiple,medium,Which historical conflict killed the most people?,World War II,"[""Taiping Rebellion"", ""Three Kingdoms War"", ""Mongol conquests""]"
Mythology,multiple,medium,"Who is the father of Icarus, who flew too close to the sun?",Daedalus,"[""Minos"", ""Perseus"", ""Zeus""]"
Entertainment: Video Games,multiple,medium,"In the Portal series of games, who was the founder of Aperture Science?",Cave Johnson,"[""GLaDOs"", ""Wallace Breen"", ""Gordon Freeman""]"
History,multiple,medium,Joseph Smith was the founder of what religion?,Mormonism,"[""Buddhism"", ""Christianity"", ""Hinduism""]"
Science: Computers,multiple,medium,"In computing terms, typically what does CLI stand for?",Command Line Interface,"[""Common Language Input"", ""Control Line Interface"", ""Common Language Interface""]"
Science: Computers,multiple,medium,What five letter word is the motto of the IBM Computer company?,Think,"[""Click"", ""Logic"", ""Pixel""]"
Entertainment: Video Games,boolean,hard,"In the game &quot;Melty Blood Actress Again Current Code&quot;, you can enter Blood Heat mode in Half Moon style.",False,"[""True""]"
Science: Computers,multiple,easy,Color model CMYK stands for?,"Cyan, Magenta, Yellow, and Black","[""Cream, Maroon, Yellow, and Black"", ""Cyan, Magenta, Yellow, and Khaki"", ""Cream, Maroon, Yellow, and Khaki""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,Which Sanrio character was introduced in 1996?,Pompompurin,"[""My Melody"", ""Badtz-Maru"", ""Kerropi""]"
Entertainment: Video Games,multiple,easy,"Before it&#039;s redesign of the company logo in the year 2000, which 3D shape is NOT represented in the Electronic Arts logo?",Cylinder,"[""Pyramid"", ""Cube"", ""Sphere""]"
Entertainment: Musicals &amp; Theatres,multiple,easy,Who wrote the play &#039;Angels in America&#039;?,Tony Kusher,"[""Tom Stoppard"", ""Matthew Lopez"", ""Anthony Neilson""]"
Geography,multiple,easy,What is the name of New Zealand&#039;s indigenous people?,Maori,"[""Vikings"", ""Polynesians"", ""Samoans""]"
Entertainment: Musicals &amp; Theatres,multiple,hard,Who played &quot;Charlie Price&quot; in the musical &quot;Kinky Boots&quot; on Broadway in New York from May 26th - Aug 6th 2017?,Brendon Urie,"[""Ed Sheeren"", ""Tom Cruise"", ""Dallon Weekes""]"
History,multiple,medium,"What is the bloodiest event in United States history, in terms of casualties?",Battle of Antietam,"[""Pearl Harbor"", ""September 11th"", ""D-Day""]"
Entertainment: Video Games,multiple,medium,"In Call Of Duty: Black Ops II, who is the main antagonist?",Raul Men&eacute;ndez ,"[""Vladimir Makarov "", ""Frank Woods"", ""DeFalco""]"
Entertainment: Television,multiple,medium,"In &quot;The Big Bang Theory&quot;, what is Howard Wolowitz&#039;s nickname in World of Warcraft?",Wolowizard,"[""Sheldor"", ""Rajesh"", ""Priya""]"
Entertainment: Video Games,boolean,easy,The end credits sequence in Grand Theft Auto 5 is over half an hour long.,True,"[""False""]"
Science: Computers,multiple,hard,What vulnerability ranked #1 on the OWASP Top 10 in 2013?,Injection ,"[""Broken Authentication"", ""Cross-Site Scripting"", ""Insecure Direct Object References""]"
Entertainment: Video Games,multiple,medium,"In &quot;Call Of Duty: Zombies&quot;, what is the name of Samantha Maxis&#039; dog?",Fluffy,"[""Baxter"", ""Fido"", ""Henry""]"
Entertainment: Board Games,multiple,hard,What is the world&#039;s oldest board game?,Senet,"[""Chess"", ""Checkers"", ""Go""]"
Politics,boolean,medium,"The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.",True,"[""False""]"
General Knowledge,boolean,easy,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",True,"[""False""]"
History,multiple,medium,In which years did the Battle of Gallipoli take place?,1915 - 1916,"[""1914 - 1918"", ""1914 - 1915"", ""1915 - 1918""]"
Entertainment: Video Games,boolean,easy,Valve&#039;s &quot;Portal&quot; and &quot;Half-Life&quot; franchises exist within the same in-game universe.,True,"[""False""]"
General Knowledge,multiple,medium,What is the real name of viral internet meme Grumpy Cat?,Tardar Sauce,"[""Lil Bub"", ""Maru"", ""Colonel Meow""]"
Science &amp; Nature,boolean,easy,"Water always boils at 100&deg;C, 212&deg;F, 373.15K, no matter where you are.",False,"[""True""]"
History,multiple,medium,Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?,Brazil,"[""India"", ""Mozambique"", ""Madagascar""]"
Entertainment: Music,multiple,easy,What was Daft Punk&#039;s first studio album?,Homework,"[""Discovery"", ""Random Access Memories"", ""Human After All""]"
Entertainment: Books,multiple,easy,Who was the original author of Frankenstein?,Mary Shelley,"[""Edgar Allan Poe"", ""Bram Stoker"", ""H. P. Lovecraft""]"
History,multiple,hard,When did Spanish Peninsular War start?,1808,"[""1806"", ""1810"", ""1809""]"
Entertainment: Video Games,multiple,easy,How many differently shaped Tetris pieces are there?,7,"[""5"", ""6"", ""8""]"
Entertainment: Board Games,boolean,easy,"In the Dungeons and Dragons universe, Beshaba is the deity of bad luck. ",True,"[""False""]"
Entertainment: Film,multiple,medium,What is the name of the robot in the 1951 science fiction film classic &#039;The Day the Earth Stood Still&#039;?,Gort,"[""Robby"", ""Colossus"", ""Box""]"
Science &amp; Nature,boolean,easy,An average human can go two weeks without water.,False,"[""True""]"
General Knowledge,multiple,easy,What is the name of the company in Lethal Company?,The Company,"[""Planet Scrap Co."", ""Lethal Robotics"", ""Gordian Shipping Co.""]"
Entertainment: Video Games,multiple,medium,Which of the following is not a prosecutor in the &quot;Ace Attorney&quot; video game series?,Jake Marshall,"[""Godot"", ""Miles Edgeworth"", ""Jacques Portsman""]"
History,multiple,medium,Who was the first explorer to sail to North America?,Leif Erikson,"[""Christopher Columbus"", ""Amerigo Vespucci"", ""Ferdinand Magellan""]"
Entertainment: Film,multiple,easy,"Max Schreck, a famous German silent film actor, plays a famous monster in which 1922 film?",Nosferatu,"[""Frankenstein "", ""The Headless Horseman"", ""H&auml;xan""]"
Entertainment: Video Games,multiple,easy,When was the game &#039;Portal 2&#039; released?,2011,"[""2014"", ""2009"", ""2007""]"
Entertainment: Music,multiple,easy,Which famous rapper is featured in Jack &Uuml; (Skrillex and Diplo)&#039;s 2015 single called &quot;Febreze&quot;?,2 Chainz,"[""Kendrick Lamar"", ""Future"", ""Fatman Scoop""]"
General Knowledge,multiple,medium,Whose greyscale face is on the kappa emoticon on Twitch?,Josh DeSeno,"[""Justin DeSeno"", ""John DeSeno"", ""Jimmy DeSeno""]"
Entertainment: Books,multiple,hard,What is the name of the town in which Lily and James Potter are buried?,Godric&#039;s Hollow,"[""Hogsmeade"", ""Ottery St. Catchpole"", ""Little Hangleton""]"
Entertainment: Film,multiple,easy,Which of these Movies was NOT released in 1996?,Gladiator,"[""Independence Day"", ""The Rock"", ""Mission: Impossible""]"
Entertainment: Music,boolean,medium,&quot;Twenty One Pilots&quot; made the song &quot;The Motion&quot; featuring Sampha.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,"In the &quot;Call Of Duty: Zombies&quot; map &quot;Origins&quot;, how many steps are there to upgrade a Staff?",4,"[""7"", ""5"", ""3""]"
Entertainment: Video Games,multiple,hard,Which team won the &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; Invitational Event February 2017 in the PC Category?,Continuum,"[""GIFU"", ""Santos Dexterity"", ""eRa Eternity""]"
Entertainment: Music,multiple,easy,How many studio albums have the duo Daft Punk released?,4,"[""1"", ""5"", ""2""]"
Science &amp; Nature,boolean,medium,Shrimp can swim backwards.,True,"[""False""]"
Entertainment: Video Games,boolean,hard,"In &quot;Minecraft&quot;, gold tools are faster than diamond tools.",True,"[""False""]"
Entertainment: Video Games,multiple,medium,"Which of these weapons is NOT available to the Terrorist team in the game, &quot;Counter-Strike: Global Offensive&quot;?",SCAR-20,"[""SG 550"", ""CZ-75"", ""XM1014""]"
General Knowledge,multiple,hard,What is the romanized Chinese word for &quot;airplane&quot;?,Feiji,"[""Qiche"", ""Zongxian"", ""Huojian""]"
General Knowledge,boolean,hard,Is Luxembourgish a real language?,True,"[""False""]"
Entertainment: Music,multiple,medium,Who is the artist of the recent new album the Uncanny Valley?,Perturbator,"[""Carpenter Brut"", ""GOST"", ""Dan Terminus ""]"
Science &amp; Nature,multiple,hard,The core of the Sun can reach which temperature?,27&deg; Million F (15&deg; Million C),"[""938,000&deg; F (521093.3&deg; C)"", ""8&deg; Billion F (&deg;4.4 Billion C)"", ""Absolute Zero (Both F and C)""]"
